Attributes	open	open	open	open	open	open	open	open	open	open	high	high	high	high	high	high	high	high	high	high	low	low	low	low	low	low	low	low	low	low	close	close	close	close	close	close	close	close	close	close	volume	volume	volume	volume	volume	volume	volume	volume	volume	volume
Symbols	MMM	AOS	ABT	ABBV	ACN	ATVI	AYI	ADBE	AAP	AMD	MMM	AOS	ABT	ABBV	ACN	ATVI	AYI	ADBE	AAP	AMD	MMM	AOS	ABT	ABBV	ACN	ATVI	AYI	ADBE	AAP	AMD	MMM	AOS	ABT	ABBV	ACN	ATVI	AYI	ADBE	AAP	AMD	MMM	AOS	ABT	ABBV	ACN	ATVI	AYI	ADBE	AAP	AMD
date																																																		
2018-11-05	193.5	48.25	70.48	79.45	157.63	68.0	130.31	240.0	165.24	20.12	194.56	48.25	71.0	83.83	158.96	68.3	132.17	241.0	166.11	20.18	192.21	47.06	69.99	79.27	156.73	64.0	129.27	233.62	163.29	18.88	193.25	47.5	70.39	82.58	158.6	64.34	130.43	239.89	165.11	19.9	2886526	2115862	8558663	10315683	1705213	16399233	378344	3224119	1250679	108016703
2018-11-06	193.27	47.34	70.33	82.73	158.96	64.32	129.89	240.48	166.56	19.5	195.5	47.99	71.0	84.23	159.97	65.98	134.27	244.64	168.79	21.65	193.0	47.06	70.22	82.31	158.7	63.67	129.89	237.76	165.69	19.48	195.3	47.54	70.96	83.66	159.42	64.25	132.66	240.56	168.09	20.68	1900381	1561240	3676427	7945508	1364695	9428712	369077	2446675	1085862	144995728
2018-11-07	197.19	48.0	71.69	84.15	160.0	65.26	134.62	244.8	169.21	21.42	201.4	48.11	72.61	87.22	163.99	66.6	134.68	253.96	170.56	22.22	195.41	46.2	71.58	84.14	159.99	64.99	127.91	243.81	167.08	21.07	201.29	47.7	72.5	86.96	163.87	65.09	129.37	253.43	170.51	21.84	2444705	2045962	6404540	10378363	2278443	12766259	647885	3790606	888661	121115776
2018-11-08	201.0	47.56	72.0	87.13	162.87	65.37	128.53	253.31	170.12	21.77	204.27	47.95	73.08	89.71	164.54	65.4	130.81	254.13	173.69	22.08	200.73	46.61	71.95	87.0	162.87	62.35	127.07	247.74	169.45	20.97	204.07	46.81	72.96	87.73	164.5	62.79	127.35	249.96	172.45	21.2	2534048	2022364	4676102	9333565	1294401	14529748	569294	2389273	1354222	92387565
2018-11-09	204.0	46.56	72.88	87.83	164.03	55.0	126.41	247.56	172.66	20.77	204.0	46.94	73.06	89.53	165.65	56.92	127.82	248.29	174.71	21.19	199.7	45.2	72.1	87.56	163.14	53.5	124.08	241.16	170.69	20.11	201.1	45.76	72.79	88.79	165.15	55.01	126.94	244.84	171.18	21.03	2429281	3173408	4247580	9169755	1882106	34543375	526189	2765862	1202305	85900699
2018-11-12	200.57	45.69	72.73	88.75	164.52	55.0	127.18	244.14	170.33	20.68	200.77	45.94	72.9	89.89	164.95	55.6	127.18	244.8	170.9	20.85	196.5	45.2	70.4	88.5	162.32	53.81	123.0	235.36	166.19	18.8	197.04	45.34	70.56	89.69	162.44	53.89	124.82	236.67	167.06	19.03	2770021	2496327	6272726	9344946	2263821	12803077	437742	3498270	1522512	95948176
2018-11-13	197.52	45.67	70.87	90.0	162.67	54.2	125.07	238.38	184.07	19.28	200.88	46.9	71.18	90.88	163.84	54.98	127.8	243.0	185.5	20.02	197.16	45.55	69.25	88.2	160.93	52.39	123.34	235.85	177.51	18.97	198.37	45.71	69.49	88.22	161.45	52.55	124.55	238.74	184.72	19.61	2168809	1845283	6570327	7237156	1486838	10335691	448717	4017536	3662712	76125994
2018-11-14	200.8	46.13	70.1	89.05	163.22	53.19	125.99	242.16	185.99	20.18	201.04	46.57	70.47	89.4	163.4	53.49	127.66	242.91	186.15	21.11	196.29	44.94	68.96	86.45	159.38	51.37	123.79	231.91	177.61	19.76	198.06	45.23	69.41	88.31	160.29	51.6	124.07	235.22	177.68	20.81	2797664	2213868	5400837	7268214	2819857	9099309	475355	3261302	1806868	106344252
2018-11-15	197.73	44.81	68.93	87.63	159.92	51.41	123.75	233.98	176.88	20.72	205.13	46.58	70.75	90.29	162.95	53.68	125.46	241.43	180.44	21.77	196.24	44.64	67.94	85.96	159.43	51.03	122.56	231.33	174.8	20.42	204.91	46.25	70.73	90.14	162.49	53.56	123.97	239.95	179.05	21.49	3157494	1387624	6849027	10365687	2561844	12304851	496940	3383487	1026644	97715488
2018-11-16	203.24	46.02	70.48	89.73	161.71	53.06	123.45	239.52	177.55	19.87	209.77	46.44	72.33	92.0	165.83	53.1	127.35	240.14	179.49	20.97	202.6	45.71	70.36	89.2	161.69	50.86	123.45	235.37	176.0	19.72	209.0	46.01	72.04	91.53	165.0	50.94	125.91	238.89	179.21	20.66	2620428	1083399	9860817	8691056	3218494	10695728	577586	2897385	876056	112376589
