Attributes	open	open	open	open	open	high	high	high	high	high	low	low	low	low	low	close	close	close	close	close	volume	volume	volume	volume	volume
Symbols	MMM	AOS	ABT	ABBV	ACN	MMM	AOS	ABT	ABBV	ACN	MMM	AOS	ABT	ABBV	ACN	MMM	AOS	ABT	ABBV	ACN	MMM	AOS	ABT	ABBV	ACN
date																									
2014-11-04	153.92	26.6	43.02	63.21	80.89	155.23	26.73	43.64	63.61	81.29	153.24	26.2	43.02	62.32	80.78	155.05	26.23	43.61	62.66	81.15	3128619	1147514	4187088	9741769	2371329
2014-11-05	155.68	26.37	43.93	63.49	81.5	156.24	26.44	43.99	63.67	82.5	154.14	26.21	43.34	62.2	81.35	155.69	26.26	43.66	62.54	82.48	2770390	750848	4193219	6464989	3201712
2014-11-06	155.69	26.26	43.6	62.75	82.19	156.68	26.61	43.84	63.39	83.31	155.21	26.13	43.44	62.42	82.11	156.05	26.57	43.69	62.71	83.24	2067172	1051792	3770619	5152441	2606915
2014-11-07	156.15	26.59	43.77	62.31	83.24	156.62	26.75	43.81	62.33	83.75	155.48	26.52	43.17	61.31	82.72	156.55	26.7	43.37	61.5	83.48	1882753	545060	3992656	7002595	2504938
2014-11-10	156.25	26.75	43.35	61.99	83.16	157.71	26.9	44.1	64.06	84.35	156.05	26.67	43.17	61.87	83.16	157.66	26.76	44.09	63.79	84.16	1463470	661996	5318871	9513163	2444461
2014-11-11	157.95	26.72	44.12	63.69	84.13	158.0	26.89	44.63	64.2	84.5	156.65	26.67	44.1	63.5	83.78	157.11	26.82	44.25	63.85	83.94	1812026	461916	3192581	5041212	1650316
2014-11-12	156.65	26.65	44.19	63.56	83.83	157.87	26.87	44.3	64.02	84.22	156.5	26.61	43.94	63.56	83.57	157.68	26.72	44.23	63.76	84.12	1500707	454666	3486008	5366690	1929625
2014-11-13	158.0	26.7	44.28	64.25	84.03	159.07	26.81	44.77	64.79	84.78	157.48	26.38	44.21	63.4	83.8	158.35	26.46	44.59	63.63	84.44	2375052	375762	3488759	4510242	2337166
2014-11-14	158.53	26.4	44.59	63.98	84.27	158.88	26.65	44.59	64.0	84.74	157.71	26.35	43.68	63.13	84.05	158.85	26.59	43.81	64.0	84.64	1786283	448752	4205973	4684899	2777205
2014-11-17	158.09	26.58	43.71	64.08	84.43	159.16	26.97	43.95	65.41	84.79	158.09	26.52	43.61	64.03	84.13	158.69	26.96	43.71	65.04	84.65	1674303	856330	3871735	7117084	1890166
2014-11-18	158.88	26.96	43.8	64.78	84.65	160.46	27.12	43.88	66.24	84.77	158.85	26.87	43.43	64.78	84.08	160.15	26.88	43.7	66.05	84.3	2312206	977464	6725157	6432239	2715543
2014-11-19	159.33	26.75	43.79	65.88	84.06	159.41	26.75	43.79	66.15	84.2	157.97	26.48	43.35	65.22	83.46	158.83	26.65	43.43	65.5	83.64	2314662	788240	3768012	5710909	2117367
